ID,Neck.G,Length,Chest.G,Weight,Obs.No,Name
39,15,45,23,65,1,Allen
41,20,47.5,24,70,1,Berta
41,17,57,27,74,2,Berta
41,20.5,59.5,38,142,3,Berta
41,18,62,31,121,4,Berta
43,16,53,26,80,1,Clyde
43,17,56,30.5,108,2,Clyde
45,28,67.5,45,344,1,Doc
45,27,78,49,371,2,Doc
48,31,72,54,416,1,Quincy
69,32,77,52,432,1,Kooch
83,31.5,72,49,348,1,Charlie
83,32,75,54.5,476,2,Charlie
83,32,75,55,478,3,Charlie
83,33,75,49,386,4,Charlie
91,22,62,35,166,1,Geraldine
179,21,70,41,220,1,Fannie
238,28,78,45,334,2,Adam
241,26.5,73.5,41,262,1,Dieter
253,27,68.5,49,360,1,John
47,29.3,76,53,416,2,Palmer
274,20,64,38,204,1,Xeronda
280,18,58,31,144,1,Clara
394,18.5,60.3,32,122,1,Abe
501,29,73,44,332,1,Eugene
503,13,37,19,34,1,Floyd
509,10.5,63,32,140,1,Kim
511,21.5,67,37,180,1,Ichabod
513,17.5,52,29,105,1,Lorie
515,21.5,59,33,166,1,Mighty
518,24,64,39,204,1,Oliver
518,26.5,66,40,250,2,Oliver
520,12,36,19,26,1,Ness
522,19,59,30,120,1,Pete
522,19,59,30,114,2,Pete
522,23,66.5,38,210,3,Pete
525,30,72,48,436,1,Robert
527,19,57.5,32,125,1,Smokey
527,19,57,34,152,2,Smokey
527,19.5,61,36,176,3,Smokey
529,20,61,33,132,1,Tozia
529,18.5,57,35,180,2,Tozia
531,17,54,28,90,1,Unser
531,20.5,57.8,34.5,140,2,Unser
533,13,40,23,40,1,Viking
535,24,63,42,220,1,Walt
538,13.5,43,23,46,1,Xavier
538,15,45,25,60,2,Xavier
541,22,66.5,34,154,1,Yogi
543,17.5,60.5,31,116,1,Zelda
545,21,60,34.5,182,1,Allison
547,20,61,34,150,1,Buck
547,26,65,39,180,2,Buck
549,20,63,35,172,4,Christopher
549,21,59.5,32.5,150,3,Christopher
549,16,50.5,28,90,2,Christopher
549,16,40,26,65,1,Christopher
551,28,64,48,356,1,Diane
553,26,65,48,316,1,Edith
555,19,60.5,34,148,3,Gary
555,17.5,52.5,30,104,2,Gary
555,17,49,29,94,1,Gary
557,17,47,29.5,86,1,Herman
560,21,59,35,150,1,Jim
560,21,64,35,166,2,Jim
562,27,72,44.5,270,1,Ken
564,24,65,39,202,1,Leon
568,21.5,63,40,202,1,Noreen
570,28,70.5,50,365,1,Orville
572,16.5,48,31,79,1,Pasquale
574,17,50.5,28,90,2,Quinn
576,19,50,38,148,1,Rich
579,28,76.5,55,446,1,Ian
581,15,46,27,62,1,Suzie
583,23,61.5,44,236,1,Thelma
585,23,63.5,44,212,1,U-Sam
578,23.5,67.5,42,204,1,Bill
578,26,65,40,224,2,Bill
589,15.5,48,26,60,1,Wille
590,15,41,26,64,1,XRay
592,21,59,34,146,1,Vanessa
592,20.5,60,35,152,2,Vanessa
596,29,79,50,400,1,Zack
598,24.5,62,41,248,1,Albert
598,26,70.5,41,278,2,Albert
598,26.5,69,46.5,297,3,Albert
301,31.5,75,47,350,1,Mary
601,17,53,30.5,114,1,Quin
606,15,52.5,28,76,1,Denise
609,13,46,23,48,1,Evelyn
611,19,57,34.5,148,1,Fran
615,17,58,29,114,1,Gert
617,17,58,29.5,116,1,Michele
617,19,60,34,158,2,Michele
619,21,63,35,198,1,Villager
621,19,58.5,33.5,114,1,Sally
623,17.5,61,33,135,1,Mary
623,17,58,29,130,2,Mary
626,18,60,30,130,2,Francis
626,22,64,36,190,3,Francis
628,21.5,64,37,180,1,Sonny
630,18.5,55.5,27.5,110,1,Davy
630,19.5,61.5,31,140,2,Davy
630,20,63.5,33,144,3,Davy
630,20,64,35,160,4,Davy
630,22,66.5,35,184,5,Davy
632,15.5,48.5,25.5,79,1,Patty
634,22.5,67,40,216,1,Friday
636,26.5,71,42.5,302,1,Swartz
638,19,53.5,32,122,1,Ann
640,29.5,70,45.5,322,1,Tiffy
640,27,70,47,308,2,Tiffy
642,20,63,33,154,1,Ralph
644,18,66.5,34,146,1,Bronson
644,19.5,64,35,162,2,Bronson
646,30,83,49,396,1,Eddie
648,18,55.5,30.5,122,1,Ozz
648,19.5,55,32.5,126,2,Ozz
648,20.5,57,34,146,3,Ozz
650,19.5,61.5,37,156,1,Margie
652,19.5,58.5,32,142,1,Pam
655,10,43.5,24,29,1,Addy
657,29.5,69,49.5,348,1,Curt
659,30.5,79.5,48.5,368,1,Kermit
661,18,54.5,32,116,1,Paul
661,19,59,34,130,3,Paul
663,21,66.5,37,160,1,Frieda
665,20.5,60,36.5,154,1,Chet
670,28,73,45,316,1,Brander
673,19.5,61,35,158,1,Louise
675,19,56,32,120,1,Nan
677,30.5,75,54,514,1,Ian
679,25.5,73.5,43,324,1,Larry
681,22,67.5,38,196,1,Scott
683,18,57.3,32.8,140,1,Grizz
909,18,56,32.5,114,1,Sara
911,15,51,24,82,1,Lou
907,22,61,40,230,1,Molly
555,23,69,42.5,290,4,Gary
555,23,69,42.5,289,5,Gary
692,17.5,59,28.5,128,1,Graham
694,20,62,32.5,156,1,Jeffrey
657,30,72,49,398,2,Curt
